System_ID,Name,Discipline,Plan_Width_in,Notes,Plan_Color
P-FX-09,Grease Interceptor,Plumbing,0,Below-slab grease interceptor,
FP-SM-01,Sprinkler Main,Fire Sprinkler,4,Fire sprinkler main riser,
FP-SM-02,Sprinkler Branch,Fire Sprinkler,1.5,Branch line to heads,
FP-SM-03,Sprinkler Cross Main,Fire Sprinkler,2.5,Cross main distribution,
FP-HD-01,Pendant Head,Fire Sprinkler,0,Standard pendant sprinkler head,
FP-HD-02,Upright Head,Fire Sprinkler,0,Upright sprinkler head,
FP-HD-03,Sidewall Head,Fire Sprinkler,0,Sidewall sprinkler head,
FP-HD-04,Concealed Head,Fire Sprinkler,0,Concealed pendant sprinkler,
FP-DV-01,Fire Alarm Control Panel,Fire Alarm,0,FACP — main fire alarm panel,
FP-DV-02,Pull Station,Fire Alarm,0,Manual pull station,
FP-DV-03,Horn/Strobe,Fire Alarm,0,Notification appliance horn/strobe,
FP-DV-04,Smoke Detector,Fire Alarm,0,Photoelectric smoke detector,
FP-DV-05,Heat Detector,Fire Alarm,0,Rate-of-rise heat detector,
FP-DV-06,Duct Detector,Fire Alarm,0,Duct-mount smoke detector,
FP-DV-07,Fire Extinguisher Cabinet,Fire Alarm,0,Semi-recessed extinguisher cabinet,
FP-DV-08,Standpipe Connection,Fire Alarm,0,Standpipe hose connection,
T-CT-01,Cable Tray Main,Telecom Pathway,6,Main backbone cable tray,
T-CT-02,Cable Tray Branch,Telecom Pathway,4,Branch cable tray to rooms,
T-CD-01,Telecom Conduit,Telecom Pathway,2,EMT conduit for telecom cabling,
T-CD-02,Fiber Conduit,Telecom Pathway,1,Innerduct for fiber optic,
T-OT-01,Data Outlet,Data,0,Cat6A data jack — wall plate,
T-OT-02,Voice Outlet,Voice,0,RJ11 voice jack — wall plate,
T-OT-03,Combo Data/Voice,Data,0,Dual data/voice wall plate,
T-OT-04,Wireless AP,Network,0,Ceiling-mount wireless access point,
T-OT-05,Security Camera,Data,0,IP surveillance camera location,
T-EQ-01,MDF / Server Room Rack,Telecom,0,Main distribution frame rack,
T-EQ-02,IDF Rack,Telecom,0,Intermediate distribution frame rack,
T-EQ-03,Patch Panel,Telecom,0,48-port Cat6A patch panel,
T-EQ-04,Network Switch,Network,0,48-port PoE managed switch,
T-EQ-05,UPS,Telecom,0,Uninterruptible power supply for telecom,
