System_ID,System_Type,Location,Stack_Direction,System_Name,Category,#,Layer,Material,Thickness_in,Approx_R_Value,Connection,Fastener,Fastener_Size,Layer_Type,Fill,Fastener_Icon,Fastener_Spacing_OC_in,Min_Edge_Dist_in,Min_End_Dist_in,Fastener_Pattern,Typ_Module_Width_in,Element_Spacing_OC_in,Cavity_Depth_in,Control_Joint_Spacing_ft,Draw_Module_Joints,Draw_Control_Joints,Draw_Fastener_Graphics,Detail_Max_Module_Joints,Detail_Min_Feature_Px,Config_Key,Config_Value,Sheet_Order,Diagram_Detail_Level,Diagram_Label,Diagram_Hatch,Diagram_Section_Zones_JSON,Diagram_Plan_Zones_JSON,View_Orientation,View_Reverse,View_Top_Label,View_Bottom_Label,Drawing_Note,Plan_Draw_Layers,Plan_Implementation_Grid_in
A4-01,clt_connection_wall_floor,typical,special,CLT Wall–Floor Connection,Structural System,1,CLT Floor Panel,5-ply exposed CLT panel - structural floor - low-VOC clear matte finish,5,6,CLT floor panel -------> CLT wall panel below,Structural wood screws,5/16 in x 5 in,CLT,CLT,,6,1.5,2.5,Single row at bearing edge - parallel to panel edge,48–96,,,,,,,,,,,1,,CLT WALL–FLOOR CONNECTION,p-METAL,"[{""nx"":0.03398058252427184,""ny"":0.32857142857142857,""nw"":0.05825242718446602,""nh"":0.011428571428571429,""nlx"":0.0744336569579288,""nly"":0.3342857142857143},{""nx"":0.03398058252427184,""ny"":0.6185714285714285,""nw"":0.05825242718446602,""nh"":0.011428571428571429,""nlx"":0.0744336569579288,""nly"":0.6242857142857143},{""nx"":0.03398058252427184,""ny"":0.9085714285714286,""nw"":0.05825242718446602,""nh"":0.011428571428571429,""nlx"":0.0744336569579288,""nly"":0.9142857142857143}]",[],SPECIAL,0,,,STS at 6 in o.c. in single row; 1.5 in from panel edge; 2.5 in from panel end; confirm fastener qty with structural engineer,wall,48
A4-01,clt_connection_wall_floor,typical,special,CLT Wall–Floor Connection,Structural System,2,Concealed Steel Angle Bracket,Hot-dip galvanized steel angle connector,0.25,0,Steel bracket -------> CLT wall + CLT floor panel face,Hex-head bolts + lag screws,1/2 in x 4 in hex bolts; 1/2 in x 5 in lags,METAL,METAL,,8,1.5,3,2–3 bolts per bracket leg - single row per face,6 (bracket length),,,,,,,,,,,,,,,,,,,,,Typ. 6 x 6 x 1/4 in HDG steel angle; 2 bolts each leg; 1.5 in edge dist min; provide EPDM pad between bracket + CLT,wall,
A4-01,clt_connection_wall_floor,typical,special,CLT Wall–Floor Connection,Structural System,3,Neoprene Bearing Pad,Neoprene elastomeric bearing pad,0.375,0,Bearing pad -------> top bearing face of CLT wall panel,Construction adhesive,N/A,MISC,MISC,,N/A,N/A,N/A,Continuous full-width bearing pad - no discrete fasteners,Matches CLT wall width,,,,,,,,,,,,,,,,,,,,,Full-width neoprene pad at all CLT wall bearing surfaces; trim flush to wall face; min 3/8 in thick; 40–60 Shore A,wall,
A4-01,clt_connection_wall_floor,typical,special,CLT Wall–Floor Connection,Structural System,4,Mineral Wool Firestop,Mineral wool fire-stopping batt at floor-wall junction gap,1,4,Firestop -------> gap at CLT wall-floor junction,Press fit + fire-rated sealant,N/A,INSULATION,INSULATION,,N/A,N/A,N/A,Press fit continuous + sealant bead tooled flush both sides,24 (batt width),,,,,,,,,,,,,,,,,,,,,UL-classified min wool batt at all floor-wall junction gaps; min 1 in comp; sealant both faces; code-listed assembly,wall,
A4-01,clt_connection_wall_floor,typical,special,CLT Wall–Floor Connection,Structural System,5,CLT Wall Panel,5-ply exposed CLT panel - structural wall core - low-VOC clear matte finish,5,6,CLT wall panel -------> foundation bearing plate,Concealed steel post base connector,Simpson CCQ or approved equal per shop drawings,CLT,CLT,,48,1.5,2.5,Concealed post base at base; angle connectors at head/base,48–96,48,,,,,,,,,,,,,,,,,,,,Concealed CLT post base connectors at foundation; coordinate with structural; see foundation detail; typ. Simpson CCQ or equiv.,wall,48
A4-01,clt_connection_wall_floor,typical,special,CLT Wall–Floor Connection,Structural System,TOTAL,—,—,11.625,16,—,—,—,—,,,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,—,wall,
A4-02,clt_floor_acoustic_finish_stack,typical,slab_top_to_bottom,CLT Floor Acoustic (Finish to CLT),Structural System,1,White Oak Floor Finish,White oak hardwood - natural oil finish - matte - tongue + groove,0.75,0.68,Flooring -------> cork underlayment,Adhesive + blind nail,15ga x 1.5 in cleats,WOOD,WOOD,,6–8,0.5 from tongue,2 from end,Blind nail at tongue - single row per board - 6–8 in o.c.,2.25–5 (board width),,,,,,,,,,,2,,CLT FLOOR ACOUSTIC ASSEMBLY,p-CLT,"[{""nx"":0.09223300970873786,""ny"":0.3342857142857143,""nw"":0.42394822006472493,""nh"":0.025714285714285714},{""nx"":0.09223300970873786,""ny"":0.6242857142857143,""nw"":0.42394822006472493,""nh"":0.025714285714285714},{""nx"":0.09223300970873786,""ny"":0.32571428571428573,""nw"":0.42394822006472493,""nh"":0.008571428571428572,""nlx"":0.3042071197411003,""nly"":0.33},{""nx"":0.09223300970873786,""ny"":0.6157142857142858,""nw"":0.42394822006472493,""nh"":0.008571428571428572}]","[{""nx"":0.11342592592592593,""ny"":0.08506944444444445,""nw"":0.6018518518518519,""nh"":0.8298611111111112,""nlx"":0.2986111111111111,""nly"":0.22395833333333334},{""nx"":0.13657407407407407,""ny"":0.10243055555555555,""nw"":0.18518518518518517,""nh"":0.10416666666666667,""nlx"":0.22916666666666666,""nly"":0.1545138888888889}]",FLOOR,0,↓ FINISH SURFACE,↑ STRUCTURE,15ga x 1.5 in cleats at 6–8 in o.c. at tongue; also construction adhesive; run perpendicular to CLT grain; stagger end joints min 6 in,floor,
A4-02,clt_floor_acoustic_finish_stack,typical,slab_top_to_bottom,CLT Floor Acoustic (Finish to CLT),Structural System,2,Cork Acoustic Underlayment,Natural cork sheet underlayment - 6mm - loose laid,0.25,1,Cork -------> SLC screed surface - adhesive bond at perimeter,Adhesive bond at perimeter,N/A,MISC,MISC,,N/A,N/A,N/A,Loose-laid interior; perimeter adhesive bond only,Continuous,,,,,,,,,,,,,,,,,,,,,Stagger joints from layer below; perimeter adhesive only - allow interior thermal expansion; butt joints tight,floor,
A4-02,clt_floor_acoustic_finish_stack,typical,slab_top_to_bottom,CLT Floor Acoustic (Finish to CLT),Structural System,3,Self-Leveling Concrete Screed,Lightweight SLC topping - poured and leveled in place,1.5,0.2,Screed -------> acoustic mat + CLT panel - poured in place,Cast in place,N/A,CONCRETE,CONCRETE,,N/A,N/A,N/A,Cast in place continuous pour - control joints at CLT panel edges,Continuous,,,10–12,,,,,,,,,,,,,,,,,,Min 1.5 in SLC; control joints at all CLT panel joints; prime acoustic mat per SLC mfr; stop at all door frames,floor,
A4-02,clt_floor_acoustic_finish_stack,typical,slab_top_to_bottom,CLT Floor Acoustic (Finish to CLT),Structural System,4,Recycled Rubber Acoustic Mat,Recycled rubber impact underlayment - 40 kg/m3 density,0.5,0,Acoustic mat -------> top face of CLT panel - adhesive bond,Construction adhesive,N/A,MISC,MISC,,N/A,N/A,N/A,Continuous full-coverage adhesive bond - no discrete fasteners,Continuous (roll width varies),,0,,,,,,,,,,,,,,,,,,,Full-coverage adhesive bond; butt joints tight - do not overlap; trim flush at slab edge; 40 kg/m3 density min,floor,
A4-02,clt_floor_acoustic_finish_stack,typical,slab_top_to_bottom,CLT Floor Acoustic (Finish to CLT),Structural System,5,CLT Structural Floor Panel,5-ply exposed CLT panel - low-VOC clear matte finish on CLT soffit above ceiling cavity,5,6,CLT panel -------> resilient ceiling system below + structural walls or beams at bearing,Structural screws at bearing,5/16 in x 8 in,CLT,CLT,,6,1.5,2.5,Single row at each bearing edge,48–96,,,,,,,,,,,,,,,,,,,,,STS at 6 in o.c. at all CLT panel bearing edges; 1.5 in from panel face; stagger panel joints in plan; coordinate resilient ceiling attachment per acoustic consultant. Resilient ceiling below CLT: see A4-23.,floor,48
A4-02,clt_floor_acoustic_finish_stack,typical,slab_top_to_bottom,CLT Floor Acoustic (Finish to CLT),Structural System,TOTAL,—,—,8.0,7.88,—,—,—,—,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,floor,
A4-03,clt_roof_assembly,typical,roof_exterior_to_interior,CLT Roof Assembly,Structural System,1,Standing Seam Metal Roof,Pre-patinated zinc alloy panels (RHEINZINK or equiv.) - flat-lock standing seam,0.09375,0,Roof panels -------> concealed standing seam clips at substrate,Concealed stainless standing seam clips,Factory-set per panel width,METAL,METAL,,12,N/A,N/A,Single row of clips per seam - 12 in o.c. max,24 (panel width typ.),,,,,,,,,,,3,,CLT ROOF ASSEMBLY,p-CLT,"[{""nx"":0.09223300970873786,""ny"":0.025714285714285714,""nw"":0.8155339805825242,""nh"":0.03,""nlx"":0.5,""nly"":0.032857142857142856},{""nx"":0.09223300970873786,""ny"":0.055714285714285716,""nw"":0.8155339805825242,""nh"":0.014285714285714285,""nlx"":0.5,""nly"":0.06285714285714286}]",[],ROOF,0,↑ EXTERIOR,INTERIOR ↓,Concealed SS clips at 12 in o.c. max per seam; allow panel thermal expansion; verify clip type + spacing with zinc mfr per wind zone,roof,
A4-03,clt_roof_assembly,typical,roof_exterior_to_interior,CLT Roof Assembly,Structural System,2,Self-Adhered Roofing Underlayment,Peel-and-stick modified bitumen membrane - fully adhered,0.25,0,Membrane -------> tapered insulation top face - fully adhered,Taped seams,N/A,MEMBRANE,MEMBRANE,,N/A,N/A,N/A,Fully adhered - 6 in lap at all seams,Continuous,,,,,,,,,,,,,,,,,,,,,Fully adhered; lap seams min 6 in; tape all seams; turn up at penetrations + edges min 6 in; no fishmouths,wall,
A4-03,clt_roof_assembly,typical,roof_exterior_to_interior,CLT Roof Assembly,Structural System,3,Tapered Rigid Insulation,Tapered polyisocyanurate boards - min. 1/4 in per ft slope,2,12,Insulation -------> flat polyiso below - mechanically attached,Insulation screws with plate washers,6 in screw + 3 in washer,INSULATION,INSULATION,,24,N/A,N/A,2 fasteners per 4x8 board - centered in field,48 x 96 (board size),,,,,,,,,,,,,,,,,,,,,2 fasteners per 4 x 8 ft board at 24 in o.c.; stagger board joints min 12 in from layer below; boards slope to drain at 1/4 in per ft min,wall,
A4-03,clt_roof_assembly,typical,roof_exterior_to_interior,CLT Roof Assembly,Structural System,4,Rigid Insulation (Polyiso) — Layer 1,Flat polyisocyanurate boards - two layers - staggered joints,2.5,15,Insulation -------> WRB/air barrier below - mechanically attached,Insulation screws with plate washers,8 in screw + 3 in washer,INSULATION,INSULATION,,16,N/A,N/A,Grid pattern - 16 in o.c. ea. way - staggered rows,48 x 96 (board size),,,,,,,,,,,,,,,,,,,,,First staggered polyiso layer; offset joints min 12 in from Layer 2.,wall,
A4-03,clt_roof_assembly,typical,roof_exterior_to_interior,CLT Roof Assembly,Structural System,5,Rigid Insulation (Polyiso) — Layer 2,Flat polyisocyanurate boards - two layers - staggered joints,2.5,15,Insulation -------> WRB/air barrier below - mechanically attached,Insulation screws with plate washers,8 in screw + 3 in washer,INSULATION,INSULATION,,16,N/A,N/A,Grid pattern - 16 in o.c. ea. way - staggered rows,48 x 96 (board size),,,,,,,,,,,,,,,,,,,,,Second layer; 16 in o.c. fasteners; stagger from Layer 1.,wall,
A4-03,clt_roof_assembly,typical,roof_exterior_to_interior,CLT Roof Assembly,Structural System,6,WRB / Air Barrier,Self-adhered membrane - fully adhered to CLT panel,0.125,0,Membrane -------> top face of CLT panel - fully adhered,Taped seams,N/A,MEMBRANE,MEMBRANE,,N/A,N/A,N/A,Fully adhered - 6 in lap at seams,Continuous,,,,,,,,,,,,,,,,,,,,,Fully adhered to CLT; 6 in lap min; tape all seams; wrap over eave + up parapet min 8 in; prime CLT per membrane mfr,wall,
A4-03,clt_roof_assembly,typical,roof_exterior_to_interior,CLT Roof Assembly,Structural System,7,CLT Roof Structural Panel,5-ply exposed CLT panel - low-VOC clear matte finish,5,6,CLT panel -------> structural wall or beam bearing,Structural screws at bearing,5/16 in x 10 in,CLT,CLT,,6,1.5,2.5,Single row at each bearing edge,48–120,,,,,,,,,,,,,,,,,,,,,STS at 6 in o.c. at all bearing edges; 1.5 in from panel face; exposed soffit - no face fasteners; stagger panel joints,wall,48
A4-03,clt_roof_assembly,typical,roof_exterior_to_interior,CLT Roof Assembly,Structural System,TOTAL,—,—,12.4688,48,—,—,—,—,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,
A4-04,clt_wall_core_structural,typical,wall_interior_to_exterior,CLT Wall Core,Structural System,1,Intumescent Coating at Connection Zones,Water-based intumescent paint - 2 coats - at bracket and connector contact zones,0.0625,0,Coating -------> CLT panel face at all connection zones,Brush/roller applied,N/A,MISC,MISC,,N/A,N/A,N/A,Roller/brush applied - 2 coats - at all bracket contact zones,Connection zone area only,,,,,,,,,,,4,,CLT WALL PANEL (STRUCTURAL),p-CLT,"[{""nx"":0.07766990291262135,""ny"":0,""nw"":0.014563106796116505,""nh"":0.9142857142857143,""nlx"":0.08495145631067962,""nly"":0.2642857142857143},{""nx"":0.9077669902912622,""ny"":0,""nw"":0.014563106796116505,""nh"":0.9142857142857143,""nlx"":0.9150485436893204,""nly"":0.4642857142857143}]","[{""nx"":0.046296296296296294,""ny"":0.08506944444444445,""nw"":0.046296296296296294,""nh"":0.8298611111111112,""nlx"":0.06944444444444445,""nly"":0.2586805555555556}]",WALL,0,,,Apply 2 coats at all bracket + connector contact zones; extend 2 in beyond bracket perimeter on all sides; coordinate with structural,wall,
A4-04,clt_wall_core_structural,typical,wall_interior_to_exterior,CLT Wall Core,Structural System,2,CLT Structural Wall Panel,5-ply CLT structural wall panel - grade-stamped - exposed interior face,5.5,6.5,CLT panel -------> bearing plate or adjacent floor/wall panel,Concealed steel angle + structural screws,5/16 in x 5 in,CLT,CLT,,6,1.5,2.5,Single row at bearing edges; angle connectors at head + base,48–96,,,,,,,,,,,,,,,,,,,,,5-ply CLT wall; STS at 6 in o.c. at all bearing edges; panel height = floor-to-floor clear height; grade-stamp verified. See A4-06 for same core in full envelope.,wall,48
A4-04,clt_wall_core_structural,typical,wall_interior_to_exterior,CLT Wall Core,Structural System,3,Concealed Steel Angle Connector,Hot-dip galvanized steel angle or slotted plate connector,0.25,0,Connector -------> CLT panel face + adjacent panel or floor,Hex bolts at steel; lag screws into CLT,1/2 in x 4 in bolts; 1/2 in x 5 in lags,METAL,METAL,,8,1.5,3,2–3 bolts per bracket leg - single row per face,6–8 (bracket length),,,,,,,,,,,,,,,,,,,,,HDG angle at panel head + base; min 2 per panel; stagger with adjacent panel connectors; EPDM pad between metal + CLT,wall,
A4-04,clt_wall_core_structural,typical,wall_interior_to_exterior,CLT Wall Core,Structural System,4,Neoprene Bearing Pad,Neoprene elastomeric pad at wall base and bearing points,0.375,0,Pad -------> CLT wall base + concrete foundation or floor below,Construction adhesive,N/A,MISC,MISC,,N/A,N/A,N/A,Continuous full-width pad at all bearing points,Matches CLT wall width,,,,,,,,,,,,,,,,,,,,,Full-width neoprene pad at all bearing points; extend full panel width; min 3/8 in thick; 40–60 Shore A hardness,wall,
A4-04,clt_wall_core_structural,typical,wall_interior_to_exterior,CLT Wall Core,Structural System,TOTAL,—,—,6.19,6.5,—,—,—,—,,,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,—,wall,
A4-05,clt_connection_panel_to_panel,typical,wall_interior_to_exterior,CLT Panel-to-Panel Connection,Structural System,1,CLT Panel A,5-ply exposed CLT panel - low-VOC clear matte finish,5,6,CLT Panel A -------> adjacent CLT Panel B via spline + connector,Structural wood screws through spline,#10 x 5 in,CLT,CLT,,12,1,2,Single row through spline at panel edge - 12 in o.c.,48–96,,,,,,,,,,,5,,CLT PANEL-TO-PANEL CONNECTIONS,p-MISC,"[{""nx"":0.09223300970873786,""ny"":0.33714285714285713,""nw"":0.012944983818770227,""nh"":0.011428571428571429,""nlx"":0.09870550161812297,""nly"":0.34285714285714286},{""nx"":0.09223300970873786,""ny"":0.6271428571428571,""nw"":0.012944983818770227,""nh"":0.011428571428571429}]","[{""nx"":0.4375,""ny"":0.08506944444444445,""nw"":0.013888888888888888,""nh"":0.8298611111111112,""nlx"":0.4444444444444444,""nly"":0.4322916666666667}]",WALL,0,,,STS at 12 in o.c. through spline groove into Panel A; 1 in from panel edge; 2 in from panel end; exposed face - no thru-fasteners,wall,48
A4-05,clt_connection_panel_to_panel,typical,wall_interior_to_exterior,CLT Panel-to-Panel Connection,Structural System,2,LVL Hardwood Spline,Laminated veneer lumber spline - slip-fit into routed grooves at panel edges,1.5,1,Spline -------> routed groove in CLT Panels A + B,Construction adhesive + wood screws,#10 x 3 in,WOOD,WOOD,,8,0.75,1.5,Single row centered in spline width - 8 in o.c.,1.5 x 3.5 (spline cross-section),,,,,,,,,,,,,,,,,,,,,Adhesive in routed groove + STS at 8 in o.c.; spline centered at joint; rout groove to tight tolerance; pre-drill spline to prevent split,wall,
A4-05,clt_connection_panel_to_panel,typical,wall_interior_to_exterior,CLT Panel-to-Panel Connection,Structural System,3,Continuous Sealant Bead,Polyurethane sealant - tooled flush at panel joint face - both sides,0.25,0,Sealant -------> CLT panel face at joint - both sides,Caulk gun applied + tooled flush,N/A,MISC,MISC,,N/A,N/A,N/A,Continuous bead both sides of joint - tooled flush,1/4 (sealant width at joint face),,,,,,,,,,,,,,,,,,,,,Continuous PU sealant bead both sides; tool flush to CLT face; apply closed-cell backer rod if gap exceeds 3/8 in,wall,
A4-05,clt_connection_panel_to_panel,typical,wall_interior_to_exterior,CLT Panel-to-Panel Connection,Structural System,4,Concealed Slotted Steel Plate,Slotted steel plate connector (Rothoblaas or equiv.) - embedded in saw kerf,0.375,0,Steel plate -------> CLT panel kerf spanning Panel A to Panel B,Machine screws into plate slots,M10 x 60mm,METAL,METAL,,16,1.5,2,Single row at panel joint centerline - plate centered on joint,3/8 x 3.5 (plate cross-section),,,,,,,,,,,,,,,,,,,,,Saw kerf in both panels A + B; plate spans joint centered; M10 bolts at 16 in o.c.; set plate flush in kerf; HDG or SS plate,wall,
A4-05,clt_connection_panel_to_panel,typical,wall_interior_to_exterior,CLT Panel-to-Panel Connection,Structural System,5,CLT Panel B,5-ply exposed CLT panel - low-VOC clear matte finish,5,6,CLT Panel B -------> CLT Panel A via spline + concealed plate,Structural wood screws through spline,#10 x 5 in,CLT,CLT,,12,1,2,Single row through spline at panel edge - mirror of Panel A,48–96,,,,,,,,,,,,,,,,,,,,,Mirror Panel A; STS at 12 in o.c.; exposed face - no thru-fasteners; panel end joints staggered min 24 in from Panel A joints,wall,48
A4-05,clt_connection_panel_to_panel,typical,wall_interior_to_exterior,CLT Panel-to-Panel Connection,Structural System,TOTAL,—,—,12.125,13,—,—,—,—,,,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,—,wall,
A4-06,envelope_wall_exterior_primary,typical,wall_interior_to_exterior,Exterior Wall (Primary),Building Envelope,1,Structure / Interior Finish,5-ply exposed CLT panel - low-VOC clear matte finish,5,6,CLT panel -------> structural connections as required,Concealed CLT structural connectors,5/16 in x 5 in STS + concealed angles per shop drawings,CLT,CLT,,6,1.5,2.5,Same bearing and angle connector intent as A4-04 wall core,48–96,48,,,,,,,,,,6,,EXTERIOR WALL (PRIMARY),p-INSULATION,"[{""nx"":0.043689320388349516,""ny"":0,""nw"":0.04854368932038835,""nh"":0.9142857142857143,""nlx"":0.06634304207119741,""nly"":0.17857142857142858},{""nx"":0.9142394822006472,""ny"":0,""nw"":0.04854368932038835,""nh"":0.9142857142857143,""nlx"":0.9368932038834952,""nly"":0.17857142857142858},{""nx"":0,""ny"":0,""nw"":0.03398058252427184,""nh"":0.9142857142857143,""nlx"":0.032362459546925564,""nly"":0.40714285714285714},{""nx"":0.9660194174757282,""ny"":0,""nw"":0.03398058252427184,""nh"":0.9142857142857143,""nlx"":0.9983818770226537,""nly"":0.40714285714285714}]","[{""nx"":0,""ny"":0,""nw"":0.11342592592592593,""nh"":1,""nlx"":0.056712962962962965,""nly"":0.1388888888888889},{""nx"":0,""ny"":0,""nw"":1,""nh"":0.08506944444444445,""nlx"":0.46296296296296297,""nly"":0.042534722222222224},{""nx"":0.8865740740740741,""ny"":0,""nw"":0.11342592592592593,""nh"":1},{""nx"":0,""ny"":0.9149305555555556,""nw"":1,""nh"":0.08506944444444445},{""nx"":0,""ny"":1,""nw"":1,""nh"":0.04861111111111111,""nlx"":0.23148148148148148,""nly"":1.0243055555555556}]",WALL,0,,,Exposed 5-ply CLT interior face; no surface-exposed fasteners; all connectors concealed; low-VOC clear matte finish; match panel grain direction. Core matches A4-04 (5-ply structural wall).,wall,48
A4-06,envelope_wall_exterior_primary,typical,wall_interior_to_exterior,Exterior Wall (Primary),Building Envelope,2,Vapor Control Layer,Smart vapor retarder membrane - sealed at joints,0.125,0,Membrane -------> outer face of CLT - sealed at joints,Staples + seam tape,3/8 in staples,MEMBRANE,MEMBRANE,,12,N/A,N/A,Staples at 12 in o.c. at laps + perimeter - continuous tape over,Continuous,,,,,,,,,,,,,,,,,,,,,Staple at 12 in o.c. at all laps + penetrations; tape all seams with compatible membrane tape; airtight seal at all penetrations + corners,wall,
A4-06,envelope_wall_exterior_primary,typical,wall_interior_to_exterior,Exterior Wall (Primary),Building Envelope,3,Continuous Insulation,Rigid mineral wool board,4,16,Insulation boards -------> continuously over CLT,Insulation screws with plate washers,~8 in screw + 3 in washer,INSULATION,INSULATION,,16,N/A,N/A,Grid pattern - 16 in o.c. ea. way - 4 fasteners per 2x4 board,24 x 48 or 48 x 96 (board size),,,,,,,,,,,,,,,,,,,,,16 in o.c. ea. way; 3 in dia. plate washers; tight butt joints; stagger joints in double layers; min 2 in CLT penetration,wall,
A4-06,envelope_wall_exterior_primary,typical,wall_interior_to_exterior,Exterior Wall (Primary),Building Envelope,4,WRB / Air Barrier,Self-adhered membrane - fully adhered,0.125,0,Membrane -------> exterior face of insulation - fully adhered,Taped seams,N/A,MEMBRANE,MEMBRANE,,N/A,N/A,N/A,Fully adhered - 6 in lap at all seams,Continuous,,,,,,,,,,,,,,,,,,,,,Fully adhered; 6 in lap at seams; tape all seams + penetrations; turn down 2 in at base; seal at all rough opening perimeters,wall,
A4-06,envelope_wall_exterior_primary,typical,wall_interior_to_exterior,Exterior Wall (Primary),Building Envelope,5,Rainscreen Furring,Pressure-treated wood furring strips,1,1,Furring through insulation back -------> CLT,Structural wood screws,#10 x 8 in,WOOD,WOOD,,16,0.75,1.5,Single row at furring centerline - 16 in o.c. vertical,1.5 x 3.5 (furring cross-section),16,,,,,,,,,,,,,,,,,,,,PT furring at 16 in o.c. vertical; STS penetrate full insulation depth into CLT; min 2 in CLT engagement; align with wall studs where applicable,wall,
